Km,Latitude,Longitude
335.845,60.73538608,7.12251806
335.85,60.73543142,7.12251531
335.855,60.73547653,7.12251444
335.86,60.73552174,7.12251647
335.865,60.73556653,7.12252281
335.87,60.73561157,7.12253202
335.875,60.73565634,7.12253987
335.88,60.73570096,7.12254793
335.885,60.73574567,7.12255709
335.89,60.73579128,7.12256487
335.895,60.73583638,7.12257234
335.9,60.73588115,7.12258159
335.905,60.73592554,7.12259067
335.91,60.73596991,7.12259863
335.915,60.73601423,7.12260668
335.92,60.73605873,7.1226126
335.925,60.73610344,7.12261583
335.93,60.73614791,7.12261683
335.935,60.73619286,7.1226155
335.94,60.73623832,7.12261104
335.945,60.73628459,7.12260321
335.95,60.73633011,7.12259406
335.955,60.73637407,7.12257751
335.96,60.73641723,7.12256522
335.965,60.73646123,7.12255239
335.97,60.7365054,7.12253942
335.975,60.73654922,7.12252554
335.98,60.73659276,7.12251166
335.985,60.73663665,7.12249796
335.99,60.73668035,7.12248189
335.995,60.73672414,7.12246273
336.0,60.736768,7.12244516
336.005,60.73681178,7.12242739
336.01,60.73685547,7.12240919
336.015,60.7368984,7.12238799
336.02,60.73693432,7.12236558
336.025,60.73696942,7.12233969
336.03,60.73700353,7.12231691
336.04,60.73710782,7.12228014
336.055,60.73721195,7.12222992
336.06,60.73724656,7.12222124
336.075,60.73734551,7.12217542
336.08,60.73737461,7.12216009
336.085,60.73740609,7.12214295
336.09,60.73743731,7.12212612
336.095,60.73746741,7.12211297
336.1,60.73749849,7.12210027
336.105,60.73752994,7.12209321
336.11,60.73755716,7.12206096
336.115,60.73759883,7.12210762
336.12,60.73762636,7.1220928
336.125,60.73765492,7.12208213
336.13,60.73769028,7.12206853
336.135,60.73772476,7.12205155
336.17,60.73805573,7.12219253
336.175,60.73809755,7.12221695
336.18,60.73813988,7.12222838
336.185,60.73818373,7.12225226
336.205,60.73834763,7.12234985
336.22,60.73844137,7.12244619
336.225,60.73846686,7.12244997
336.375,60.738796,7.12335429
336.785,60.74262281,7.12801505
336.79,60.74265254,7.12806608
336.795,60.74270405,7.12806587
336.8,60.74273307,7.12807281
336.805,60.74276773,7.12808035
336.81,60.74280388,7.12809029
336.815,60.74284695,7.12810427
336.82,60.74289165,7.12811914
336.825,60.74293597,7.12813579
336.83,60.74297955,7.12815794
336.835,60.74303154,7.12818671
336.84,60.74307598,7.12821147
336.845,60.74311939,7.12824015
336.85,60.7431617,7.12827186
336.855,60.74320297,7.1283071
336.86,60.74324379,7.12834369
336.865,60.74328395,7.12838379
336.87,60.74332319,7.12842746
336.875,60.7433619,7.12847202
336.88,60.74340031,7.12852022
336.885,60.74343728,7.1285708
336.89,60.743474,7.12862412
336.895,60.74350993,7.12867922
336.9,60.74354466,7.12873802
336.905,60.74357845,7.12879887
336.91,60.74360926,7.12885789
336.915,60.74363832,7.12891699
336.92,60.74367353,7.12899462
336.925,60.74370307,7.12906417
336.93,60.74373526,7.12914463
336.935,60.74375932,7.12921061
336.94,60.74378458,7.12928411
336.945,60.74380915,7.12936105
336.95,60.74383264,7.1294401
336.955,60.7438541,7.12951972
336.96,60.74387481,7.12960059
336.965,60.74389452,7.12968532
336.97,60.74391229,7.12976996
336.975,60.74392902,7.12985555
336.98,60.74394408,7.12994188
336.985,60.74395846,7.13003426
336.99,60.74396958,7.13011357
336.995,60.74398185,7.1302139
337.0,60.74399153,7.1303087
337.0,60.74400923,7.13055543
337.005,60.74401324,7.13064785
337.005,60.74399887,7.13038958
337.01,60.74400528,7.13048159
337.01,60.74401561,7.13074002
337.015,60.74401683,7.13082784
337.02,60.7440165,7.13092287
337.025,60.74401499,7.13101142
337.03,60.74401172,7.13110235
337.035,60.74400684,7.13119374
337.04,60.74400044,7.13127804
337.045,60.74399228,7.13137552
337.05,60.74398358,7.13146031
337.055,60.74397159,7.13155416
337.06,60.74395905,7.1316426
337.065,60.74394482,7.13172987
337.07,60.74392923,7.13181597
337.075,60.7439119,7.13190186
337.08,60.74389245,7.13198573
337.085,60.74387228,7.13206902
337.09,60.74385116,7.13215134
337.095,60.74382792,7.13223107
337.1,60.74380418,7.13230951
337.105,60.74377906,7.13239147
337.11,60.74375537,7.13246453
337.115,60.74372946,7.13253949
337.12,60.74370162,7.13261707
337.125,60.74367421,7.13269053
337.13,60.74364811,7.13275869
337.135,60.74361977,7.1328294
337.14,60.74359062,7.13289867
337.145,60.74356134,7.13296837
337.15,60.74353158,7.13303717
337.155,60.74350106,7.13310533
337.16,60.74347081,7.13317172
337.165,60.74343991,7.13323887
337.17,60.7434062,7.1333106
337.175,60.74337753,7.13337035
337.18,60.74334625,7.13343503
337.185,60.74331471,7.13349878
337.19,60.7432827,7.1335617
337.195,60.74325177,7.13362209
337.2,60.74322246,7.13367793
337.205,60.74318513,7.13374828
337.21,60.74315176,7.13380934
337.215,60.74311803,7.13386997
337.22,60.74308408,7.13392963
337.225,60.74305223,7.1339851
337.23,60.74302099,7.13403853
337.235,60.74298022,7.13410625
337.24,60.74294504,7.13416414
337.245,60.74290954,7.13422142
337.25,60.74287406,7.13427691
337.255,60.7428382,7.13433181
337.26,60.74280216,7.13438568
337.265,60.74276567,7.13443841
337.27,60.74272484,7.13449749
337.275,60.74269203,7.13454458
337.28,60.7426552,7.13459444
337.285,60.7426181,7.13464504
337.29,60.74258067,7.13469546
337.295,60.74254275,7.13474362
337.3,60.74250432,7.13479162
337.305,60.7424657,7.13483962
337.31,60.74242724,7.13488625
337.315,60.74238993,7.13493074
337.32,60.74235108,7.13497634
337.325,60.74231213,7.13502168
337.33,60.74227668,7.13506245
337.335,60.74223397,7.13511176
337.34,60.74219493,7.13515664
337.345,60.74215595,7.13520164
337.35,60.74211747,7.13524774
337.355,60.74208313,7.13529044
337.36,60.7420409,7.13534356
337.365,60.74200307,7.13539304
337.37,60.74196269,7.13544841
337.375,60.74192985,7.13549543
337.38,60.74189676,7.13554352
337.385,60.74185884,7.13560321
337.39,60.74182125,7.13566416
337.395,60.74178706,7.13572158
337.4,60.74175318,7.13578252
337.405,60.74171998,7.13584426
337.41,60.74168761,7.1359057
337.415,60.74165613,7.13595158
337.42,60.74163213,7.13602416
337.46,60.74140732,7.13661772
337.465,60.74134644,7.13670662
337.47,60.74130433,7.13677279
337.475,60.741295,7.13684442
337.48,60.74128953,7.13693551
337.485,60.74127764,7.13702339
337.49,60.741263,7.13711355
337.495,60.74124768,7.13720758
337.5,60.74123419,7.13729355
337.505,60.74122101,7.13738383
337.51,60.74120881,7.13747311
337.515,60.74119754,7.13756244
337.52,60.74118668,7.13765205
337.525,60.74117669,7.13774216
337.53,60.7411683,7.13783262
337.535,60.7411609,7.13792312
337.54,60.74115415,7.13801379
337.545,60.74114875,7.13811244
337.55,60.74114585,7.13819446
337.555,60.74114406,7.138277
337.56,60.741143,7.13838019
337.565,60.74114398,7.13847233
337.57,60.74114664,7.13857233
337.575,60.74114975,7.13865662
337.58,60.74115501,7.13874808
337.585,60.74116143,7.13883942
337.59,60.74116945,7.13892999
337.595,60.74117988,7.13902767
337.6,60.74118987,7.13910876
337.605,60.74120193,7.1391972
337.61,60.74121585,7.13928448
337.615,60.74123112,7.1393708
337.62,60.74124771,7.13945608
337.625,60.74126552,7.13954052
337.63,60.7412856,7.1396229
337.635,60.74130637,7.13970448
337.64,60.74132818,7.13978475
337.645,60.74135184,7.13986292
337.65,60.74137678,7.13993973
337.655,60.7414023,7.14001545
337.66,60.74142952,7.1400886
337.665,60.741458,7.14015967
337.67,60.74148745,7.14022878
337.675,60.74151801,7.14029602
337.68,60.74154933,7.1403615
337.685,60.74158174,7.14042428
337.69,60.74161522,7.14048496
337.695,60.74164958,7.14054379
337.7,60.7416852,7.14060005
337.705,60.74172143,7.14065368
337.71,60.74175859,7.1407048
337.715,60.74179643,7.14075378
337.72,60.7418354,7.14079953
337.725,60.74187512,7.14084265
337.73,60.74191526,7.1408835
337.735,60.74195621,7.14092113
337.74,60.74199766,7.14095551
337.745,60.74203936,7.14098794
337.75,60.74208199,7.14101724
337.755,60.742125,7.14104295
337.76,60.74216832,7.14106648
337.765,60.74221238,7.14108721
337.77,60.74225642,7.14110362
337.775,60.74230085,7.14111806
337.78,60.7423453,7.14112972
337.785,60.74238996,7.14113718
337.79,60.74243479,7.14114183
337.795,60.7424799,7.141144
337.8,60.74252476,7.14114253
337.805,60.74256991,7.1411378
337.81,60.74261481,7.14113063
337.815,60.74265941,7.1411201
337.82,60.74270392,7.14110658
337.825,60.74274836,7.14109031
337.83,60.74279225,7.14107054
337.835,60.74283567,7.1410481
337.84,60.74287932,7.14102277
337.845,60.74292227,7.1409943
337.85,60.74296478,7.14096305
337.855,60.74300624,7.14092911
337.86,60.74304731,7.14089287
337.865,60.74308775,7.14085328
337.87,60.74312771,7.1408112
337.875,60.74316672,7.14076635
337.88,60.74320516,7.14071871
337.885,60.74324287,7.14066833
337.89,60.74327952,7.14061553
337.895,60.74331548,7.14055981
337.9,60.74335068,7.14050202
337.905,60.7433847,7.140442
337.91,60.74341765,7.14037951
337.915,60.74345,7.14031494
337.92,60.74348089,7.14024791
337.925,60.74351117,7.14017948
337.93,60.74354021,7.14010901
337.935,60.7435683,7.14003704
337.94,60.74359551,7.13996353
337.945,60.74362272,7.13988728
337.95,60.7436482,7.13981455
337.955,60.74367369,7.13973911
337.96,60.74370036,7.13966153
337.965,60.74372528,7.13958872
337.97,60.74375091,7.13951344
337.975,60.74377679,7.13943814
337.98,60.74380257,7.13936283
337.985,60.74382837,7.13928739
337.99,60.74385402,7.13921209
337.995,60.74387968,7.13913667
338.0,60.74390543,7.13906147
338.005,60.74393136,7.13898621
338.01,60.74395704,7.13891074
338.015,60.74398269,7.13883574
338.02,60.74400871,7.13876067
338.025,60.744033,7.13868944
338.03,60.74406049,7.13861017
338.035,60.74408625,7.1385352
338.04,60.74411203,7.13845991
338.045,60.74413813,7.13838522
338.05,60.7441638,7.13831039
338.055,60.74418925,7.13823549
338.06,60.74421497,7.13816097
338.065,60.74424055,7.13808591
338.07,60.7442662,7.13801105
338.075,60.74429212,7.13793634
338.08,60.7443179,7.13786109
338.085,60.74434372,7.13778638
338.09,60.74439834,7.13763115
338.095,60.74439834,7.13763115
338.1,60.74442255,7.13756175
338.105,60.74444879,7.13748714
338.11,60.74447495,7.13741334
338.115,60.74450099,7.13733886
338.12,60.74452714,7.13726451
338.125,60.74455309,7.13719068
338.13,60.74457864,7.13711634
338.135,60.74460497,7.13704176
338.14,60.74463127,7.1369668
338.145,60.7446575,7.13689236
338.15,60.74468366,7.13681738
338.155,60.74470959,7.13674293
338.16,60.74473568,7.13666811
338.165,60.74476174,7.13659332
338.17,60.7447881,7.13651811
338.175,60.74481417,7.136443
338.18,60.74484009,7.13636804
338.185,60.7448661,7.13629347
338.19,60.74489236,7.13621856
338.195,60.74491861,7.13614353
338.2,60.74494483,7.13606848
338.205,60.74497082,7.13599351
338.21,60.74499663,7.13591842
338.215,60.7450224,7.13584373
338.22,60.74504826,7.13576826
338.225,60.74507414,7.13569235
338.23,60.74509962,7.13561598
338.235,60.7451254,7.135539
338.24,60.74515031,7.13546078
338.245,60.74517407,7.13538102
338.25,60.74519668,7.13530027
338.255,60.74521809,7.13521802
338.26,60.74523756,7.13513465
338.265,60.74525548,7.13505024
338.27,60.74527376,7.13496385
338.275,60.74528758,7.13488095
338.28,60.74530223,7.134803
339.91,60.74705271,7.13555828
339.915,60.74707995,7.13558321
339.92,60.74711396,7.13560889
339.925,60.74715654,7.13563463
339.93,60.74719667,7.13565974
339.935,60.74723895,7.13568079
339.94,60.74728291,7.1357013
340.465,60.74786386,7.12898265
340.475,60.74778702,7.12866977
340.48,60.74783717,7.12861148
340.485,60.74783606,7.12851333
340.49,60.74782687,7.12840627
340.495,60.74781797,7.12830545
340.5,60.74781952,7.12821222
