KM,Latitude,Longitude,RX_HorizontalWearConsumption,LX_HorizontalWearConsumption,RX_VerticalWear,LX_VerticalWear
335845,60.73536664468369,7.122518606043351,-2.57,-1.5,-1.01,0.84
335850,60.73541143234104,7.122517614658341,-1.69,-1.77,-1.01,2.82
335855,60.73545621999834,7.122516623265787,-1.7,-1.55,-1.01,2.79
335860,60.73550100765554,7.122515631865698,-1.72,-0.73,-1.01,2.56
335865,60.73554574239843,7.122518984470722,0.09,0.0,-0.72,-0.82
335870,60.73559044813745,7.122524602564864,-1.49,-1.56,2.4,2.59
335875,60.7356351538765,7.122530220669975,-1.55,-1.83,1.04,2.9
335880,60.73567976498625,7.122538192054233,-1.71,-1.44,-3.43,2.9
335885,60.73572432049325,7.1225475461993275,0.12,0.28,-0.79,-0.99
335890,60.73576887600006,7.122556900365793,0.16,0.27,-1.2,-1.8
335895,60.735813431506664,7.122566254553634,0.22,0.36,-1.06,-2.18
335900,60.735857987013055,7.122575608762848,0.26,0.34,-1.2,-1.6
335910,60.73594709802526,7.122594317245381,0.4,0.01,-0.54,-0.3
335915,60.73599180027689,7.122599405260472,0.32,0.23,-0.56,-1.28
335920,60.73603655626539,7.1226029845084815,0.39,0.2,-0.41,-1.04
335925,60.73608131291492,7.1226065293324865,0.24,0.24,-0.18,-0.75
335930,60.73612606956449,7.1226100741616545,0.17,0.24,-0.23,-0.68
335935,60.73617082621416,7.122613618995977,0.13,0.24,-0.26,-0.65
335940,60.73621552342969,7.122610508756754,0.11,0.13,-0.4,-0.52
335945,60.73626018701349,7.122603632682462,0.26,0.29,-0.47,-0.72
335950,60.73630485059657,7.122596756584265,0.33,0.14,-0.69,-0.21
335955,60.73634947033064,7.122588873577202,0.33,0.16,-0.57,-0.39
335960,60.73639395490407,7.122578418313826,0.23,0.2,-0.37,-0.53
335965,60.73643818476057,7.12256399215537,0.28,0.16,-0.71,-0.48
335970,60.73648241461478,7.122549565952519,0.28,0.14,-0.36,-0.32
335975,60.73652664446668,7.122535139705275,0.22,0.14,-0.36,-0.39
335980,60.73657087431628,7.1225207134136355,0.09,0.16,0.02,-0.27
335985,60.736614774461806,7.1225026571809495,0.33,0.13,-0.27,-0.41
335990,60.7366585947283,7.122483721492135,0.29,0.14,-0.32,-0.59
335995,60.7367024149911,7.122464785747121,0.19,0.09,-0.38,-0.55
336000,60.73674623525028,7.122445849945907,0.3,0.02,-0.4,-0.38
336005,60.7367900555058,7.122426914088495,0.3,0.09,-0.37,-0.47
336010,60.7368338757577,7.122407978174873,0.16,0.03,-0.13,-0.27
336015,60.73687771856507,7.1223892669875095,0.24,0.09,-0.26,-0.4
336020,60.73692166225881,7.12237156460165,0.27,0.16,-0.5,-0.56
336025,60.736965643934425,7.122354286081961,0.33,0.11,-0.51,-0.49
336030,60.73700981675437,7.122339148269353,0.24,0.06,0.0,-0.55
336035,60.737053989571834,7.122324010410461,0.33,-0.17,-0.29,-0.39
336040,60.737098162386786,7.122308872505286,0.23,-0.11,-0.17,-0.36
336045,60.73714238850943,7.1222945597397755,0.33,0.04,-0.36,-0.38
336050,60.737186971918206,7.122285777378055,0.32,0.01,-0.26,-0.43
336055,60.737231555325934,7.122276994987186,0.33,0.02,-0.24,-0.46
336060,60.73727613873263,7.122268212567176,0.28,0.0,-0.02,-0.69
336065,60.737320722138286,7.122259430118029,0.33,-0.16,-0.26,-0.31
336070,60.7373653055429,7.122250647639731,0.28,-0.14,-0.04,-0.41
336075,60.73740988894648,7.122241865132292,0.24,0.03,0.0,-0.82
336080,60.73745449188301,7.122233632101554,0.26,-0.04,0.0,-0.46
336085,60.73749922881808,7.1222291685362835,0.25,0.18,-0.15,-0.59
336090,60.737543965752714,7.122224704953806,0.26,0.01,0.1,-0.38
336095,60.73758870268697,7.122220241354098,0.24,-0.03,0.16,-0.55
336100,60.73763343962084,7.122215777737163,0.31,0.01,-0.12,-0.58
336105,60.73767817655426,7.122211314103023,0.15,-0.03,0.0,-0.39
336110,60.73772291348735,7.12220685045165,0.09,0.03,0.13,-0.56
336115,60.73776765986632,7.12220306376469,0.18,0.03,0.02,-0.57
336120,60.73781244864871,7.1222023159771055,0.13,-0.01,0.14,-0.35
336125,60.73785723743104,7.122201568182662,0.16,-0.01,0.04,-0.44
336130,60.73790202623143,7.122200824927543,0.16,0.11,-0.23,-0.26
336135,60.737946815041866,7.122200084207641,0.23,0.45,-0.5,-0.43
336140,60.73799159589854,7.12220122830246,0.2,0.41,-0.67,0.03
336145,60.738036371803645,7.1222035458053154,0.32,0.51,-0.79,0.05
336150,60.7380811161666,7.122207211830883,0.35,0.51,-0.71,-0.08
336155,60.73812579630568,7.122213623624724,0.34,0.49,-0.85,-0.01
336160,60.738170476444765,7.122220035431743,0.31,0.46,-0.86,0.02
336165,60.73821503379167,7.122228812225553,0.3,0.55,-0.76,-0.14
336170,60.738259378507415,7.122241684304586,0.42,0.56,-0.99,-0.19
336175,60.73830372322259,7.122254556414705,0.37,0.51,-0.93,-0.04
336180,60.7383479098211,7.122269336145446,0.38,0.65,-0.63,-0.28
336185,60.73839185767932,7.122286996181359,0.48,0.72,-1.06,-0.13
336190,60.73843549319468,7.12230761545208,0.45,0.83,-1.12,-0.47
336195,60.73847909963517,7.122328510215794,0.3,0.7,-0.84,-0.22
336200,60.73852234728863,7.12235213992973,0.32,0.75,-1.0,-0.41
336205,60.73856522623923,7.122378580179635,0.3,0.59,-0.9,-0.08
336210,60.73860714266084,7.122410491167116,0.39,0.65,-1.06,-0.21
336215,60.73864845263009,7.122445849071461,0.52,0.67,-1.2,-0.15
336220,60.73868976259162,7.122481207063729,0.7,0.6,-1.71,-0.32
336225,60.73872962439473,7.122522777501878,0.46,0.5,-0.9,-0.19
336230,60.738769103348936,7.1225659903590355,0.55,0.46,-0.9,-0.17
336235,60.73880767948717,7.122612381765615,0.58,0.35,-0.76,-0.14
336240,60.738845640600786,7.122660938509786,0.54,0.43,-0.46,-0.28
336245,60.73888339973534,7.122710090145123,0.53,0.4,-0.47,-0.06
336250,60.73891896622506,7.122765699134301,0.54,0.33,-0.58,-0.18
336255,60.738954532693874,7.122821308245809,0.59,0.4,-0.75,-0.24
336260,60.73899009914177,7.122876917479661,0.49,0.38,-0.54,-0.44
336265,60.739024774517105,7.122934682525552,0.46,0.36,-0.62,-0.43
336270,60.73905757685953,7.122996978999286,0.44,0.33,-0.67,-0.14
336275,60.739090379175224,7.123059275600356,0.41,0.34,-0.61,-0.36
336280,60.73912140864447,7.12312520720275,0.39,0.19,-0.36,-0.38
336285,60.73915150828177,7.123192921398054,0.28,0.16,-0.2,-0.34
336290,60.73918033742736,7.123262939579816,0.25,0.03,0.02,-0.48
336295,60.73920916653853,7.123332957888525,0.33,0.07,-0.03,-0.54
336300,60.73923754367044,7.123403712796669,0.12,0.01,0.25,-0.55
336305,60.73926456200447,7.123476682017503,0.27,0.1,-0.13,-0.6
336310,60.739290117235875,7.123551784743001,0.23,-0.15,-0.54,-0.36
336315,60.7393151269088,7.123627683040875,0.28,0.03,-0.47,-0.42
336320,60.73934013654079,7.123703581459145,0.12,0.09,-0.21,-0.33
336325,60.73936514613179,7.123779479997817,0.22,0.08,-0.33,-0.25
336330,60.739388912152066,7.123857014746006,0.24,0.15,-0.37,-0.35
336335,60.73941240129335,7.123934913838838,0.16,0.01,-0.13,-0.04
336340,60.73943589039129,7.124012813048146,0.26,0.17,-0.38,-0.16
336345,60.73945937944587,7.124090712373931,0.34,0.09,-0.45,-0.16
336350,60.73948279960576,7.124168694297461,0.2,0.16,-0.32,-0.04
336355,60.73950461865022,7.124248594356981,0.19,-0.09,-0.37,-0.08
336360,60.73952643764885,7.1243284945279335,0.24,0.02,-0.28,-0.25
336365,60.739548256601665,7.124408394810324,0.18,-0.01,-0.3,-0.26
336370,60.73957007550865,7.124488295204147,0.21,0.13,-0.44,-0.42
336375,60.7395918943698,7.124568195709412,0.33,0.11,-0.62,-0.32
336380,60.73961406899636,7.124647666681137,0.28,0.11,-0.46,-0.29
336385,60.73963782223414,7.124725231528358,0.39,0.1,-0.61,-0.33
336390,60.73966157542896,7.124802796492785,0.3,0.12,-0.42,-0.14
336395,60.739685328580805,7.1248803615744265,0.31,0.12,-0.34,-0.1
336400,60.73971066314398,7.124955769268691,0.26,0.28,-0.42,-0.3
336405,60.739736641372055,7.125030298908125,0.23,0.27,-0.3,-0.52
336410,60.73976261956077,7.125104828670091,0.17,0.01,-0.12,-0.21
336415,60.73978859771007,7.1251793585546,0.17,0.12,-0.08,-0.36
336420,60.73981457581996,7.125253888561653,0.33,0.0,-0.43,-0.31
336425,60.739840553890446,7.125328418691251,0.28,0.1,-0.39,-0.36
336430,60.73986713015886,7.1254020488098355,0.14,0.02,-0.34,-0.47
336435,60.73989427385211,7.125474825223787,0.16,0.06,-0.31,-0.46
336440,60.73992141750794,7.125547601762436,0.27,0.07,-0.73,-0.33
336445,60.739948561126354,7.125620378425783,0.22,0.04,-0.55,-0.45
336450,60.73997570470735,7.125693155213833,0.21,0.1,-0.42,-0.32
336455,60.74000284825093,7.12576593212659,0.32,0.1,-0.66,-0.27
336460,60.74003116060694,7.12583681420464,0.24,0.06,-0.29,-0.32
336465,60.74005969610227,7.1259073345949355,0.36,0.08,-0.54,-0.32
336470,60.740088231562616,7.12597785511188,0.28,0.02,-0.41,-0.38
336475,60.740117259785904,7.126047517853517,0.27,0.02,-0.32,-0.26
336480,60.740146824094474,7.126116247403949,0.26,0.08,-0.35,-0.27
336485,60.74017638836996,7.12618497708196,0.2,0.07,-0.29,-0.46
336490,60.74020601415388,7.126253593095667,0.16,0.0,-0.29,-0.36
336495,60.7402365604508,7.126320507123591,0.39,0.08,-0.76,-0.25
336500,60.74026710671651,7.126387421279571,0.26,0.09,-0.58,-0.32
336505,60.740297652951035,7.126454335563602,0.39,0.12,-0.1,-0.66
336510,60.74032819915433,7.126521249975689,0.46,0.04,-0.19,-0.55
336515,60.7403587453264,7.126588164515836,0.5,0.04,-0.13,-0.57
336520,60.7403892914673,7.1266550791840295,0.33,0.24,0.02,-0.96
336525,60.740419837576965,7.126721993980283,0.44,0.23,-0.05,-1.15
336530,60.74045038365542,7.126788908904589,0.31,0.16,0.13,-1.0
336535,60.7404809297027,7.126855823956949,0.44,0.25,0.24,-0.85
336540,60.740512135174534,7.126921411935857,0.47,0.11,-0.24,-0.81
336545,60.74054443649763,7.126984794506284,0.58,0.21,0.07,-0.87
336550,60.74057673779299,7.127048177204447,0.57,0.27,-0.1,-1.21
336555,60.7406090390606,7.127111560030352,0.51,0.2,-0.09,-0.95
336560,60.74064183660097,7.127173847783161,0.64,0.14,-0.26,-0.87
336565,60.74067526357176,7.127234746622889,0.57,0.03,0.03,-1.06
336570,60.74070869051709,7.127295645589283,0.56,-0.01,0.11,-0.56
336575,60.740743174753376,7.127353882762753,0.55,0.13,0.29,-0.8
