Km,RX_HorizontalWearConsumption,LX_HorizontalWearConsumption,RX_VerticalWear,LX_VerticalWear,Latitude,Longitude
335.845,-0.07,0.65,-1.68,-0.18,60.73538608,7.12251806
335.85,-0.22,0.64,-1.66,-0.39,60.73543142,7.12251531
335.855,-0.19,0.92,-1.93,-0.52,60.73547653,7.12251444
335.86,-0.35,1.56,-1.59,-1.11,60.73552174,7.12251647
335.865,0.11,0.15,-5.46,-0.46,60.73556653,7.12252281
335.87,-2.05,-0.57,2.53,-0.31,60.73561157,7.12253202
335.875,-2.47,-1.32,2.53,-0.1,60.73565634,7.12253987
335.88,-1.75,-1.84,2.21,2.4,60.73570096,7.12254793
335.885,-1.84,-1.61,2.19,2.38,60.73574567,7.12255709
335.89,-1.16,-0.59,2.97,2.44,60.73579128,7.12256487
335.895,-0.06,-0.11,-0.44,-0.54,60.73583638,7.12257234
335.9,-1.27,-1.1,1.79,-1.34,60.73588115,7.12258159
335.905,-1.58,-1.72,2.7,-1.41,60.73592554,7.12259067
335.91,-1.58,-1.49,2.35,-1.41,60.73596991,7.12259863
335.915,-1.36,-1.44,2.62,2.8,60.73601423,7.12260668
335.92,-1.43,-1.53,2.49,2.66,60.73605873,7.1226126
335.925,-0.17,-0.18,-0.43,-0.57,60.73610344,7.12261583
335.93,0.11,0.28,-0.7,-1.99,60.73614791,7.12261683
335.935,0.16,0.3,-0.93,-1.5,60.73619286,7.1226155
335.94,0.31,-0.03,-0.26,-0.89,60.73623832,7.12261104
335.945,0.43,0.13,-0.61,-1.11,60.73628459,7.12260321
335.95,0.34,0.14,-0.31,-0.99,60.73633011,7.12259406
335.955,0.25,0.12,-0.26,-0.69,60.73637407,7.12257751
335.96,0.3,0.08,-0.55,-0.42,60.73641723,7.12256522
335.965,0.14,0.11,-0.33,-0.63,60.73646123,7.12255239
335.97,0.03,0.08,-0.17,-0.47,60.7365054,7.12253942
335.975,0.13,0.15,-0.44,-0.34,60.73654922,7.12252554
335.98,0.37,0.07,-0.86,-0.23,60.73659276,7.12251166
335.985,0.35,0.03,-0.75,-0.1,60.73663665,7.12249796
335.99,0.35,0.05,-0.69,-0.36,60.73668035,7.12248189
335.995,0.34,0.13,-0.71,-0.51,60.73672414,7.12246273
336.0,0.35,0.17,-0.44,-0.48,60.736768,7.12244516
336.005,0.23,0.13,-0.3,-0.47,60.73681178,7.12242739
336.01,0.2,0.21,-0.12,-0.51,60.73685547,7.12240919
336.015,0.19,0.15,-0.15,-0.42,60.7368984,7.12238799
336.02,0.18,0.02,-0.32,-0.1,60.73693432,7.12236558
336.025,0.28,0.05,-0.61,-0.26,60.73696942,7.12233969
336.03,0.27,0.1,-0.48,-0.32,60.73700353,7.12231691
336.04,0.19,0.06,-0.36,-0.29,60.73710782,7.12228014
336.055,0.25,0.16,-0.38,-0.51,60.73721195,7.12222992
336.06,0.28,0.14,-0.3,-0.38,60.73724656,7.12222124
336.075,0.34,0.1,-0.46,-0.17,60.73734551,7.12217542
336.08,0.35,0.14,-0.53,-0.41,60.73737461,7.12216009
336.085,0.31,0.14,-0.09,-0.39,60.73740609,7.12214295
336.09,0.31,0.24,-0.18,-0.61,60.73743731,7.12212612
336.095,0.34,0.29,-0.36,-0.96,60.73746741,7.12211297
336.1,0.29,0.21,-0.08,-0.66,60.73749849,7.12210027
336.105,0.27,0.11,-0.09,-0.5,60.73752994,7.12209321
336.11,0.31,0.2,-0.13,-0.52,60.73755716,7.12206096
336.115,0.26,0.19,0.03,-0.53,60.73759883,7.12210762
336.12,0.22,0.09,0.12,-0.39,60.73762636,7.1220928
336.125,0.39,0.17,-0.03,-0.6,60.73765492,7.12208213
336.13,0.29,0.2,-0.09,-0.67,60.73769028,7.12206853
336.135,0.23,0.1,-0.11,-0.57,60.73772476,7.12205155
336.17,0.2,0.38,-0.62,0.04,60.73805573,7.12219253
336.175,0.24,0.45,-0.87,-0.1,60.73809755,7.12221695
336.18,0.23,0.4,-0.75,-0.02,60.73813988,7.12222838
336.185,0.34,0.43,-0.82,-0.03,60.73818373,7.12225226
336.205,0.28,0.51,-0.74,-0.26,60.73834763,7.12234985
336.22,0.21,0.61,-0.65,-0.34,60.73844137,7.12244619
336.225,0.16,0.76,-0.59,-0.52,60.73846686,7.12244997
336.375,0.48,-0.02,-0.59,-0.01,60.738796,7.12335429
336.785,0.1,0.03,-3.58,-3.1,60.74262281,7.12801505
336.79,0.25,0.89,-4.3,-3.18,60.74265254,7.12806608
336.795,0.05,0.83,-5.87,-2.72,60.74270405,7.12806587
336.8,0.26,1.24,-4.63,-3.37,60.74273307,7.12807281
336.805,0.08,1.59,-4.11,-3.13,60.74276773,7.12808035
336.81,0.26,1.75,-4.22,-3.21,60.74280388,7.12809029
336.815,0.22,1.75,-3.77,-3.1,60.74284695,7.12810427
336.82,0.3,0.55,-4.23,-2.17,60.74289165,7.12811914
336.825,-0.24,0.87,-5.75,-1.82,60.74293597,7.12813579
336.83,-0.15,1.74,-10.96,-1.82,60.74297955,7.12815794
336.835,-0.01,1.81,-10.48,-1.81,60.74303154,7.12818671
336.84,0.09,1.92,-11.0,-2.17,60.74307598,7.12821147
336.845,-0.09,2.04,-9.28,-2.08,60.74311939,7.12824015
336.85,0.16,2.06,-9.95,-1.99,60.7431617,7.12827186
336.855,-0.11,2.25,-9.64,-2.25,60.74320297,7.1283071
336.86,-0.09,2.3,-9.84,-2.15,60.74324379,7.12834369
336.865,0.11,2.19,-11.37,-2.03,60.74328395,7.12838379
336.87,0.08,2.51,-10.76,-2.22,60.74332319,7.12842746
336.875,-0.09,2.47,-11.58,-1.91,60.7433619,7.12847202
336.88,0.11,2.19,-11.58,-1.61,60.74340031,7.12852022
336.885,-0.04,2.6,-12.43,-1.98,60.74343728,7.1285708
336.89,0.1,2.59,-10.95,-1.72,60.743474,7.12862412
336.895,0.32,2.79,-10.95,-1.92,60.74350993,7.12867922
336.9,0.31,2.63,-11.07,-1.74,60.74354466,7.12873802
336.905,0.11,2.62,-9.39,-2.17,60.74357845,7.12879887
336.91,0.0,3.23,-8.63,-1.72,60.74360926,7.12885789
336.915,0.07,3.38,-7.64,-2.02,60.74363832,7.12891699
336.92,0.08,3.28,-8.57,-2.17,60.74367353,7.12899462
336.925,0.31,3.81,-8.79,-2.13,60.74370307,7.12906417
336.93,0.33,3.56,-8.05,-2.14,60.74373526,7.12914463
336.935,0.22,3.3,-8.16,-1.99,60.74375932,7.12921061
336.94,0.31,3.62,-7.2,-1.98,60.74378458,7.12928411
336.945,0.33,3.4,-10.33,-2.04,60.74380915,7.12936105
336.95,0.39,3.52,-9.76,-1.72,60.74383264,7.1294401
336.955,0.12,3.54,-10.41,-2.07,60.7438541,7.12951972
336.96,0.35,3.62,-11.19,-2.01,60.74387481,7.12960059
336.965,0.19,3.67,-11.49,-2.3,60.74389452,7.12968532
336.97,0.19,3.32,-11.25,-1.73,60.74391229,7.12976996
336.975,0.31,3.42,-10.52,-2.07,60.74392902,7.12985555
336.98,0.21,3.07,-11.53,-1.68,60.74394408,7.12994188
336.985,0.14,3.08,-11.21,-2.16,60.74395846,7.13003426
336.99,0.04,3.12,-10.4,-2.07,60.74396958,7.13011357
336.995,0.11,2.63,-11.73,-2.48,60.74398185,7.1302139
337.0,0.64,2.44,-12.05,-2.82,60.74399153,7.1303087
337.0,0.64,2.44,-12.05,-2.82,60.74400923,7.13055543
337.0,0.91,2.56,-10.82,-2.92,60.74399153,7.1303087
337.0,0.91,2.56,-10.82,-2.92,60.74400923,7.13055543
337.005,0.92,2.43,-10.38,-2.86,60.74401324,7.13064785
337.005,0.92,2.43,-10.38,-2.86,60.74399887,7.13038958
337.005,0.5,2.48,-12.06,-3.07,60.74401324,7.13064785
337.005,0.5,2.48,-12.06,-3.07,60.74399887,7.13038958
337.01,0.42,2.43,-11.28,-2.95,60.74400528,7.13048159
337.01,0.42,2.43,-11.28,-2.95,60.74401561,7.13074002
337.01,0.07,2.47,-9.49,-2.17,60.74400528,7.13048159
337.01,0.07,2.47,-9.49,-2.17,60.74401561,7.13074002
337.015,0.27,2.13,-9.79,-1.86,60.74401683,7.13082784
337.02,0.09,1.95,-10.88,-1.74,60.7440165,7.13092287
337.025,0.0,1.88,-10.75,-1.96,60.74401499,7.13101142
337.03,0.04,1.85,-9.84,-2.05,60.74401172,7.13110235
337.035,0.23,1.72,-9.45,-2.0,60.74400684,7.13119374
337.04,0.15,1.79,-9.16,-2.28,60.74400044,7.13127804
337.045,0.02,1.68,-8.63,-2.33,60.74399228,7.13137552
337.05,1.61,1.72,-8.02,-2.26,60.74398358,7.13146031
337.055,2.02,1.64,-8.26,-2.2,60.74397159,7.13155416
337.06,1.86,1.65,-8.33,-2.22,60.74395905,7.1316426
