Segment_ID,Curvature_Type,RX_Horizontal_Sum,LX_Horizontal_Sum,RX_Vertical_Sum,LX_Vertical_Sum
Straight_1,Straight,-9.08,-7.110000000000001,-2.36,10.78
Straight_2,Straight,-4.25,-3.9199999999999995,-3.04,3.4200000000000004
Straight_3,Straight,1.8299999999999998,1.38,-3.95,-7.15
Straight_4,Straight,1.24,1.2799999999999998,-2.23,-3.5300000000000002
Straight_5,Straight,1.67,0.9400000000000001,-3.0599999999999996,-2.32
Straight_6,Straight,1.42,0.68,-1.71,-2.59
Straight_7,Straight,1.6,0.5,-2.17,-2.5700000000000003
Straight_8,Straight,0.98,0.16,-1.13,-1.3
Straight_9,Straight,1.78,-0.24000000000000002,-0.8200000000000001,-3.12
Straight_10,Straight,1.32,0.19,-0.16999999999999998,-2.83
Straight_11,Straight,1.02,0.019999999999999997,0.21000000000000002,-2.89
Straight_12,Straight,1.42,1.98,-2.86,-1.13
Straight_13,Straight,2.09,3.08,-5.1,-0.44
Straight_14,Straight,0.69,1.26,-1.9300000000000002,-0.44999999999999996
Straight_15,Straight,2.69,3.76,-6.7700000000000005,-1.3599999999999999
Straight_16,Straight,3.2,2.47,-4.07,-1.02
Straight_17,Straight,2.93,2.1399999999999997,-3.77,-1.79
Straight_18,Straight,1.7800000000000002,0.8,-0.9299999999999999,-2.6500000000000004
Straight_19,Straight,1.24,0.16,-1.4300000000000002,-2.51
Straight_20,Straight,1.42,0.66,-1.98,-1.0
Straight_21,Straight,0.53,0.27,-0.94,-0.36
Straight_22,Straight,1.87,0.8400000000000001,-2.8699999999999997,-1.4800000000000002
Straight_23,Straight,1.4400000000000002,0.78,-1.7399999999999998,-2.06
Straight_24,Straight,1.28,0.39,-2.74,-2.39
Right_25,Right,1.68,0.38000000000000006,-2.64,-1.8700000000000003
Right_26,Right,1.54,0.33999999999999997,-2.59,-1.9200000000000002
Straight_27,Straight,2.3800000000000003,0.76,-1.0299999999999998,-4.21
Right_28,Right,2.8099999999999996,1.23,0.05000000000000002,-5.89
Straight_29,Straight,3.4000000000000004,0.7600000000000001,-0.020000000000000073,-5.45
Straight_30,Straight,3.5500000000000003,1.6099999999999999,-0.72,-5.040000000000001
Straight_31,Straight,3.94,1.19,-2.71,-5.36
Straight_32,Straight,-8.18,-7.51,13.419999999999998,12.06
Straight_33,Straight,-12.349999999999998,-11.58,-0.6899999999999995,-6.969999999999999
Straight_34,Straight,-8.09,-4.51,-16.51,-9.67
Straight_35,Straight,-0.9200000000000005,-0.42,-17.58,-11.680000000000001
Straight_36,Straight,1.21,-0.39,-19.889999999999997,-16.23
Straight_37,Straight,0.7500000000000001,4.720000000000001,-24.060000000000002,-18.15
Straight_38,Straight,0.55,8.07,-33.160000000000004,-14.86
Straight_39,Straight,0.6599999999999999,11.919999999999998,-61.6,-12.39
Straight_40,Straight,0.22,13.969999999999999,-67.48,-12.58
Straight_41,Straight,0.5,16.05,-61.629999999999995,-11.35
Left_42,Left,0.35,20.48,-50.15,-12.34
Straight_43,Straight,0.62,22.59,-52.42,-12.419999999999998
Straight_44,Straight,0.62,22.04,-64.21000000000001,-12.299999999999999
Straight_45,Straight,0.6299999999999999,17.669999999999998,-67.98,-14.669999999999998
Straight_46,Straight,1.79,14.990000000000002,-62.94,-15.21
Straight_47,Straight,0.8700000000000001,11.41,-59.75,-12.350000000000001
